Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Resource_Type,region,cluster,region.1
res_hydro_1,1,0,0,0,0,0,1,0,0,0,-1,41108,0,0,-1,-1,-1,0,0,0,639926.0067,0,0,62000,0,0,0,0,0,None,1,0,0,0,0,0.14,0.14,4788.1,0.27,0,1,1,0,0,0,0,1,0.020833333,0.041666667,res_hydro,QC,1,QC
natural_gas_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,166017.2925,0,0,48000,0,0,1.61,0,6.196,NG,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas,NE,1,NE
natural_gas_ccs_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,243437.7845,0,0,78000,0,0,3.32,0,7.007,NGCCS,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas_ccs,NE,1,NE
solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,22000,-1,-1,0,0,0,95501.35309,0,0,26000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,solar_pv,NE,1,NE
comm_solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,12000,-1,-1,0,0,0,130105.4826,0,0,20000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,comm_solar_pv,NE,1,NE
res_solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,6000,-1,-1,0,0,0,169091.7945,0,0,28000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,res_solar_pv,NE,1,NE
onshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,9000,-1,-1,0,0,0,138282.8441,0,0,46000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,onshore_wind,NE,1,NE
fixed_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,37000,-1,-1,5946,0,0,393376.42,0,0,142000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,fixed_offshore_wind,NE,1,NE
float_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,275000,-1,-1,0,0,0,636304.2092,0,0,122000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,floating_offshore_wind,NE,1,NE
battery_2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,53025.823,309670.81,0,14000,70000,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,1000,0,0,1,0.083333333,0.166666667,battery,NE,1,NE
ror_hydro_2,2,0,0,1,0,0,0,0,0,0,0,1960.5,0,0,-1,-1,-1,0,0,0,590926.2461,0,0,37400,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,ror_hydro,NE,1,NE
pumped_hydro_2,2,0,0,0,1,0,0,0,0,0,0,1830,21960,0,-1,-1,-1,0,0,0,909039.144,0,0,94000,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,pumped_hydro,NE,1,NE
fusion_2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,990011.0391,0,0,189814.1,0,0,2,0,8.53,None,262.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,fusion,NE,1,NE
