Time_Index,NG,nuclear,NGCCS,nuclear_fusion,None
0,0.053811,0,0.002677,0,0
1,8.661,0.66,9.61608,0,0
2,8.661,0.66,9.61608,0,0
3,8.661,0.66,9.61608,0,0
4,8.661,0.66,9.61608,0,0
5,8.661,0.66,9.61608,0,0
6,8.661,0.66,9.61608,0,0
7,8.661,0.66,9.61608,0,0
8,8.661,0.66,9.61608,0,0
9,8.661,0.66,9.61608,0,0
10,8.661,0.66,9.61608,0,0
11,8.661,0.66,9.61608,0,0
12,8.661,0.66,9.61608,0,0
13,8.661,0.66,9.61608,0,0
14,8.661,0.66,9.61608,0,0
15,8.661,0.66,9.61608,0,0
16,8.661,0.66,9.61608,0,0
17,8.661,0.66,9.61608,0,0
18,8.661,0.66,9.61608,0,0
19,8.661,0.66,9.61608,0,0
20,8.661,0.66,9.61608,0,0
21,8.661,0.66,9.61608,0,0
22,8.661,0.66,9.61608,0,0
23,8.661,0.66,9.61608,0,0
24,8.661,0.66,9.61608,0,0
25,8.661,0.66,9.61608,0,0
26,8.661,0.66,9.61608,0,0
27,8.661,0.66,9.61608,0,0
28,8.661,0.66,9.61608,0,0
29,8.661,0.66,9.61608,0,0
30,8.661,0.66,9.61608,0,0
31,8.661,0.66,9.61608,0,0
32,8.661,0.66,9.61608,0,0
33,8.661,0.66,9.61608,0,0
34,8.661,0.66,9.61608,0,0
35,8.661,0.66,9.61608,0,0
36,8.661,0.66,9.61608,0,0
37,8.661,0.66,9.61608,0,0
38,8.661,0.66,9.61608,0,0
39,8.661,0.66,9.61608,0,0
40,8.661,0.66,9.61608,0,0
41,8.661,0.66,9.61608,0,0
42,8.661,0.66,9.61608,0,0
43,8.661,0.66,9.61608,0,0
44,8.661,0.66,9.61608,0,0
45,8.661,0.66,9.61608,0,0
46,8.661,0.66,9.61608,0,0
47,8.661,0.66,9.61608,0,0
48,8.661,0.66,9.61608,0,0
49,8.661,0.66,9.61608,0,0
50,8.661,0.66,9.61608,0,0
51,8.661,0.66,9.61608,0,0
52,8.661,0.66,9.61608,0,0
53,8.661,0.66,9.61608,0,0
54,8.661,0.66,9.61608,0,0
55,8.661,0.66,9.61608,0,0
56,8.661,0.66,9.61608,0,0
57,8.661,0.66,9.61608,0,0
58,8.661,0.66,9.61608,0,0
59,8.661,0.66,9.61608,0,0
60,8.661,0.66,9.61608,0,0
61,8.661,0.66,9.61608,0,0
62,8.661,0.66,9.61608,0,0
63,8.661,0.66,9.61608,0,0
64,8.661,0.66,9.61608,0,0
65,8.661,0.66,9.61608,0,0
66,8.661,0.66,9.61608,0,0
67,8.661,0.66,9.61608,0,0
68,8.661,0.66,9.61608,0,0
69,8.661,0.66,9.61608,0,0
70,8.661,0.66,9.61608,0,0
71,8.661,0.66,9.61608,0,0
72,8.661,0.66,9.61608,0,0
73,8.661,0.66,9.61608,0,0
74,8.661,0.66,9.61608,0,0
75,8.661,0.66,9.61608,0,0
76,8.661,0.66,9.61608,0,0
77,8.661,0.66,9.61608,0,0
78,8.661,0.66,9.61608,0,0
79,8.661,0.66,9.61608,0,0
80,8.661,0.66,9.61608,0,0
81,8.661,0.66,9.61608,0,0
82,8.661,0.66,9.61608,0,0
83,8.661,0.66,9.61608,0,0
84,8.661,0.66,9.61608,0,0
85,8.661,0.66,9.61608,0,0
86,8.661,0.66,9.61608,0,0
87,8.661,0.66,9.61608,0,0
88,8.661,0.66,9.61608,0,0
89,8.661,0.66,9.61608,0,0
90,8.661,0.66,9.61608,0,0
91,8.661,0.66,9.61608,0,0
92,8.661,0.66,9.61608,0,0
93,8.661,0.66,9.61608,0,0
94,8.661,0.66,9.61608,0,0
95,8.661,0.66,9.61608,0,0
96,8.661,0.66,9.61608,0,0
97,8.661,0.66,9.61608,0,0
98,8.661,0.66,9.61608,0,0
99,8.661,0.66,9.61608,0,0
100,8.661,0.66,9.61608,0,0
101,8.661,0.66,9.61608,0,0
102,8.661,0.66,9.61608,0,0
103,8.661,0.66,9.61608,0,0
104,8.661,0.66,9.61608,0,0
105,8.661,0.66,9.61608,0,0
106,8.661,0.66,9.61608,0,0
107,8.661,0.66,9.61608,0,0
108,8.661,0.66,9.61608,0,0
109,8.661,0.66,9.61608,0,0
110,8.661,0.66,9.61608,0,0
111,8.661,0.66,9.61608,0,0
112,8.661,0.66,9.61608,0,0
113,8.661,0.66,9.61608,0,0
114,8.661,0.66,9.61608,0,0
115,8.661,0.66,9.61608,0,0
116,8.661,0.66,9.61608,0,0
117,8.661,0.66,9.61608,0,0
118,8.661,0.66,9.61608,0,0
119,8.661,0.66,9.61608,0,0
120,8.661,0.66,9.61608,0,0
121,8.661,0.66,9.61608,0,0
122,8.661,0.66,9.61608,0,0
123,8.661,0.66,9.61608,0,0
124,8.661,0.66,9.61608,0,0
125,8.661,0.66,9.61608,0,0
